month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2018-01-01,"Houston, TX metro area",4716.0,7423.0,21990.0,7769.0,4.7,216990.0,54.0,0.9669,482.0,1530.0,4.033,213653.02,0.037,0.0723,-0.0205,0.0,1.4212,-0.525,-0.266,balanced
2018-02-01,"Houston, TX metro area",5651.0,8080.0,22102.0,8364.0,3.9,225000.0,57.0,0.968,380.0,453.0,4.33,214218.97,0.0203,0.0453,-0.0443,-2.0,0.2268,-0.349,-0.241,balanced
2018-03-01,"Houston, TX metro area",7245.0,9733.0,23528.0,11190.0,3.2,231550.0,44.0,0.9702,414.0,321.0,4.444,214981.06,0.0246,-0.0323,-0.0524,2.0,0.4189,-0.252,-0.091,balanced
2018-04-01,"Houston, TX metro area",7539.0,10328.0,25055.0,11729.0,3.3,239900.0,31.0,0.9739,552.0,987.0,4.468,215801.68,0.0568,0.0669,-0.0464,-4.0,0.5932,-0.175,0.263,balanced
2018-05-01,"Houston, TX metro area",8727.0,10647.0,26493.0,12345.0,3.0,241000.0,29.0,0.974,445.0,1250.0,4.586,216823.32,0.0299,0.0118,-0.0457,-2.0,0.6766,-0.121,0.153,balanced
2018-06-01,"Houston, TX metro area",9087.0,9882.0,27843.0,11530.0,3.1,242000.0,28.0,0.9751,424.0,40.0,4.57,217679.64,0.0209,0.0227,-0.0482,-3.0,-0.2368,-0.119,0.129,balanced
2018-07-01,"Houston, TX metro area",8415.0,9712.0,28462.0,10922.0,3.4,242000.0,31.0,0.9757,447.0,354.0,4.528,218647.43,0.0534,0.0798,-0.0589,-2.0,0.6515,-0.135,0.263,balanced
2018-08-01,"Houston, TX metro area",8751.0,9374.0,28418.0,10221.0,3.2,237000.0,34.0,0.9729,528.0,294.0,4.55,219466.32,0.0304,0.3785,-0.0372,-3.0,-0.2902,-0.168,0.57,warmer
2018-09-01,"Houston, TX metro area",6727.0,7684.0,27800.0,8018.0,4.1,230000.0,39.0,0.9713,422.0,899.0,4.627,220287.05,0.0,-0.0811,0.0343,-5.0,0.4927,-0.196,-0.431,balanced
2018-10-01,"Houston, TX metro area",7028.0,8204.0,27262.0,8712.0,3.9,233000.0,48.0,0.9707,450.0,321.0,4.83,220967.89,0.0356,0.0311,0.0546,-8.0,0.7365,-0.096,-0.211,balanced
2018-11-01,"Houston, TX metro area",6490.0,7079.0,26489.0,7303.0,4.1,235000.0,50.0,0.9711,313.0,1173.0,4.866,221720.65,0.0444,-0.0236,0.07,-7.0,0.3546,-0.066,-0.317,balanced
2018-12-01,"Houston, TX metro area",6930.0,6023.0,24901.0,5613.0,3.6,240000.0,55.0,0.971,302.0,311.0,4.638,222525.23,0.0435,-0.0443,0.112,2.0,-0.5255,-0.11,-0.351,balanced
2019-01-01,"Houston, TX metro area",4294.0,7589.0,25288.0,8672.0,5.9,223000.0,57.0,0.9692,482.0,1530.0,4.464,223364.52,0.0277,-0.0895,0.15,3.0,0.0,-0.315,-0.901,cooler
2019-02-01,"Houston, TX metro area",5653.0,8320.0,25487.0,8841.0,4.5,230000.0,61.0,0.9712,380.0,453.0,4.37,224234.03,0.0222,0.0004,0.1532,4.0,0.0,-0.293,-0.609,cooler
2019-03-01,"Houston, TX metro area",7380.0,9933.0,26534.0,11190.0,3.6,240000.0,51.0,0.9717,414.0,321.0,4.265,225061.35,0.0365,0.0186,0.1278,7.0,0.0,-0.25,-0.269,balanced
2019-04-01,"Houston, TX metro area",8083.0,11017.0,27458.0,11979.0,3.4,245000.0,40.0,0.9736,552.0,987.0,4.142,225677.9,0.0213,0.0722,0.0959,9.0,0.0,-0.255,-0.092,balanced
2019-05-01,"Houston, TX metro area",9239.0,10730.0,29005.0,12532.0,3.1,249900.0,35.0,0.9763,445.0,1250.0,4.072,226141.6,0.0369,0.0587,0.0948,6.0,0.0,-0.241,0.044,balanced
2019-06-01,"Houston, TX metro area",8644.0,10337.0,29717.0,11524.0,3.4,252000.0,33.0,0.9768,424.0,40.0,3.802,226461.77,0.0413,-0.0488,0.0673,5.0,0.0,-0.324,-0.092,balanced
2019-07-01,"Houston, TX metro area",9326.0,10539.0,29764.0,11219.0,3.2,249900.0,34.0,0.9757,447.0,354.0,3.765,226787.67,0.0326,0.1083,0.0457,3.0,0.0,-0.355,0.133,balanced
2019-08-01,"Houston, TX metro area",9050.0,9684.0,29125.0,10111.0,3.2,249000.0,39.0,0.9727,528.0,294.0,3.616,227163.48,0.0506,0.0342,0.0249,5.0,0.0,-0.419,0.074,balanced
2019-09-01,"Houston, TX metro area",7380.0,8308.0,28210.0,8347.0,3.8,243000.0,47.0,0.9726,422.0,899.0,3.605,227644.36,0.0565,0.0971,0.0147,8.0,0.0,-0.472,0.02,balanced
2019-10-01,"Houston, TX metro area",7493.0,8787.0,27383.0,8948.0,3.7,239900.0,50.0,0.9723,450.0,321.0,3.688,228295.28,0.0296,0.0662,0.0044,2.0,0.0,-0.466,-0.125,balanced
2019-11-01,"Houston, TX metro area",6649.0,7762.0,26143.0,7335.0,3.9,242000.0,52.0,0.9731,313.0,1173.0,3.695,229189.43,0.0298,0.0245,-0.0131,2.0,0.0,-0.446,-0.217,balanced
2019-12-01,"Houston, TX metro area",8064.0,6681.0,24314.0,5880.0,3.0,252000.0,57.0,0.9721,302.0,311.0,3.72,230158.47,0.05,0.1636,-0.0236,2.0,0.0,-0.355,0.162,balanced
2020-01-01,"Houston, TX metro area",4987.0,8305.0,24618.0,9066.0,4.9,234000.0,62.0,0.9705,335.0,1180.0,3.624,231157.25,0.0493,0.1614,-0.0265,5.0,-0.247,-0.539,-0.198,balanced
2020-02-01,"Houston, TX metro area",6265.0,9480.0,25335.0,9891.0,4.0,245000.0,63.0,0.9725,409.0,639.0,3.465,232029.98,0.0652,0.1083,-0.006,2.0,0.2581,-0.508,-0.091,balanced
2020-03-01,"Houston, TX metro area",7782.0,9253.0,26463.0,10631.0,3.4,249500.0,49.0,0.9753,567.0,1720.0,3.45,232865.75,0.0396,0.0545,-0.0027,-2.0,2.1116,-0.477,-0.039,balanced
2020-04-01,"Houston, TX metro area",6328.0,7793.0,25970.0,8138.0,4.1,251999.0,37.0,0.9768,408.0,838.0,3.306,233383.85,0.0286,-0.2171,-0.0542,-3.0,-0.1904,-0.51,-0.411,balanced
2020-05-01,"Houston, TX metro area",6700.0,11522.0,24663.0,10458.0,3.7,249000.0,42.0,0.976,385.0,431.0,3.232,233382.27,-0.0036,-0.2748,-0.1497,7.0,-0.5186,-0.562,-0.504,cooler
